family_name,group_name,n_days,actual_total,pred_total,signed_bias,bias_ratio,segment_wrmsse,weight_sum,weighted_contribution,model,fold
weekday,Saturday,8,13781.0,11341.761904761905,-2439.2380952380954,0.8229999205254992,0.5662261213214523,1.0,0.5662261213214523,recent84_sunday0,recent_2025
weekday,Saturday,8,13781.0,10881.726984126986,-2899.2730158730137,0.7896180962286471,0.5662735217042816,1.0,0.5662735217042816,recent18_21_28_w35_50_15_sunday0,recent_2025
weekday,Saturday,8,13781.0,11158.800000000001,-2622.199999999999,0.8097235323996808,0.5671805977272345,1.0,0.5671805977272345,recent14_18_21_w20_45_35_sunday0,recent_2025
weekday,Saturday,8,13781.0,11588.444444444445,-2192.5555555555547,0.8409001120705643,0.5726239330187481,1.0,0.5726239330187481,recent18_sunday0,recent_2025
weekday,Saturday,8,13781.0,0.0,-13781.0,0.0,0.5970659181874627,1.0,0.5970659181874627,zero,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,zero,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent14_sunday0,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent18_sunday0,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent21_sunday0,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent28_sunday0,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent56_sunday0,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent84_sunday0,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent14_18_21_w20_45_35_sunday0,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent18_21_28_w35_50_15_sunday0,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent21_28_w50_50_sunday0,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent21_28_56_w25_50_25_sunday0,recent_2025
weekday,Sunday,8,0.0,0.0,0.0,,0.0,1.0,0.0,recent21_28_56_w35_45_20_sunday0,recent_2025
weekday,Thursday,8,14029.0,10762.285714285712,-3266.714285714288,0.7671456065496979,0.5132976217789617,1.0,0.5132976217789617,recent28_sunday0,recent_2025
weekday,Thursday,8,14029.0,10756.82142857143,-3272.1785714285706,0.7667561072472329,0.5156896872047319,1.0,0.5156896872047319,recent21_28_56_w25_50_25_sunday0,recent_2025
weekday,Thursday,8,14029.0,10707.0,-3322.0,0.7632047900776961,0.5159978737939629,1.0,0.5159978737939629,recent21_28_56_w35_45_20_sunday0,recent_2025
weekday,Thursday,8,14029.0,10592.57142857143,-3436.4285714285706,0.7550482164495994,0.5161369942981617,1.0,0.5161369942981617,recent21_28_w50_50_sunday0,recent_2025
weekday,Thursday,8,14029.0,10881.726984126986,-3147.2730158730137,0.7756594899228018,0.518051832730084,1.0,0.518051832730084,recent18_21_28_w35_50_15_sunday0,recent_2025
weekday,Thursday,8,14029.0,11588.444444444445,-2440.5555555555547,0.8260349593302763,0.5193446295048247,1.0,0.5193446295048247,recent18_sunday0,recent_2025
weekday,Thursday,8,14029.0,11158.800000000001,-2870.199999999999,0.7954095088744744,0.5198349549892789,1.0,0.5198349549892789,recent14_18_21_w20_45_35_sunday0,recent_2025
weekday,Thursday,8,14029.0,10422.857142857143,-3606.142857142857,0.7429508263495005,0.5199685389301965,1.0,0.5199685389301965,recent21_sunday0,recent_2025
weekday,Thursday,8,14029.0,11079.857142857143,-2949.142857142857,0.7897823895400344,0.5229650140820912,1.0,0.5229650140820912,recent56_sunday0,recent_2025
weekday,Thursday,8,14029.0,11480.0,-2549.0,0.8183049397676242,0.5257296978949969,1.0,0.5257296978949969,recent14_sunday0,recent_2025
weekday,Thursday,8,14029.0,11341.761904761905,-2687.2380952380954,0.8084512014229028,0.5269282766474535,1.0,0.5269282766474535,recent84_sunday0,recent_2025
weekday,Thursday,8,14029.0,0.0,-14029.0,0.0,0.6390456225104125,1.0,0.6390456225104125,zero,recent_2025
weekday,Tuesday,8,8315.0,10762.285714285712,2447.285714285712,1.2943217936603382,0.42821128999506664,1.0,0.42821128999506664,recent28_sunday0,recent_2025
weekday,Tuesday,8,8315.0,10756.82142857143,2441.8214285714294,1.293664633622541,0.42860357187034803,1.0,0.42860357187034803,recent21_28_56_w25_50_25_sunday0,recent_2025
weekday,Tuesday,8,8315.0,10707.0,2392.0,1.2876728803367408,0.42866376447835075,1.0,0.42866376447835075,recent21_28_56_w35_45_20_sunday0,recent_2025
